127.0.0.1 - - [08/Jan/2020:16:57:26 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:57:27 +0900] "GET /jsp03_mvc/index.jsp HTTP/1.1" 200 193
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:57:27 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:57:52 +0900] "GET /jsp03_mvc/index.jsp HTTP/1.1" 200 216
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:57:54 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:58:07 +0900] "GET /jsp03_mvc/list.jsp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:58:42 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:58:42 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:58:43 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:58:44 +0900] "GET /jsp03_mvc/boardlist.jsp HTTP/1.1" 500 2405
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:58:44 +0900] "GET /jsp03_mvc/boardlist.jsp HTTP/1.1" 500 2405
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:59:12 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:59:13 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:59:13 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:59:14 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:59:15 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:59:16 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:59:16 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:59:16 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:59:16 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Jan/2020:16:59:17 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 1942
0:0:0:0:0:0:0:1 - - [08/Jan/2020:17:02:58 +0900] "GET /jsp03_mvc/insert.jsp HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [08/Jan/2020:17:14:41 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [08/Jan/2020:17:14:42 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [08/Jan/2020:17:14:43 +0900] "GET /jsp03_mvc/MVCController.jsp?command=detail&SEQ=1 HTTP/1.1" 500 3265
0:0:0:0:0:0:0:1 - - [08/Jan/2020:17:14:49 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [08/Jan/2020:17:14:50 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [08/Jan/2020:17:14:50 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [08/Jan/2020:17:14:51 +0900] "GET /jsp03_mvc/MVCController.jsp?command=list HTTP/1.1" 200 2050
0:0:0:0:0:0:0:1 - - [08/Jan/2020:17:14:51 +0900] "GET /jsp03_mvc/MVCController.jsp?command=detail&SEQ=1 HTTP/1.1" 500 3265
0:0:0:0:0:0:0:1 - - [08/Jan/2020:17:15:26 +0900] "GET /jsp03_mvc/index.jsp HTTP/1.1" 200 216
